RoadName,RouteType,RoadKey
LEWIS AVE,Municipality,3841515483908303
RUATAN ST,County,4702354325056595
FLOWER AVE,County,2119742152062918
WOODWELL RD,County,8638561132838596
HOMECREST RD,County,7816358541672525
BROWN CHURCH RD,County,4886546370966300
MONTROSE PKWY,Other Public Roadway,591398444205973
7300 NEW HAMPSHIRE VE,UNKNOWN,8969865945652301
BRADLEY BLVD,Maryland (State),1106235621365744
FIRSTFIELD RD,Municipality,1024539325835221
DEWEY RD,County,8007165266990497
WASHINGTON GROVE LA,County,7550150819394003
HEMPSTEAD AVE,County,9311914599376686
NORBECK RD,County,1152129270989027
FALLS RD,Maryland (State),5959827197724225
SHAWNEE LA,Other Public Roadway,3568760535597653
PERSHING DR,County,3306831618585189
MEDICAL CENTER DR,County,1865649564043137
FLEET ST,Municipality,8184159846388608
KEATING ST,County,4046417291132669
TOWER OAKS BLVD,Municipality,4342570540214676
E GUDE DR,County,2113972178023567
HAWKINS CREAMERY RD,County,7297748343595444
EAST WEST HWY (W/B COUPLET),Maryland (State),3819942777366136
CHISWELL LA,County,2234055850209015
JONES BRIDGE RD,County,6447994259510445
W MONTGOMERY AVE,Maryland (State),7397732018561983
WATKINS RD,County,6348379154812552
RENDALE CT,County,5552529163687475
QUINCE ORCHARD BLVD,Municipality,9499969602009211
VEIRS MILL RD,Maryland (State),7605876056684094
OLD COLUMBIA PIKE,County,4815746458363939
SPRING ST,County,9197135056886281
PARK VISTA DR,County,3869513219310166
E RANDOLPH RD,County,6447998938996376
N WASHINGTON ST,Municipality,5695241935124040
WIGHTMAN RD,County,9385023334416914
HALPINE RD,Municipality,6087901678017362
MASSACHUSETTS AVE,Maryland (State),2152345261478577
DEAN RD,County,2673567482369233
N WESTLAND DR,County,9296425165369967
SPENCERVILLE RD,Maryland (State),881581038236227
MORNINGWOOD DR,County,1968930729936262
WOODFIELD RD,Maryland (State),7245524902630720
LOCBURY DR,County,8795132582787041
AIRPARK RD,County,8500771852572087
SHAFTSBURY ST,County,6491786860552721
GREENCASTLE RD,County,8472532262451612
TILDEN LA,County,3680286496557900
PERSIMMON TREE RD,County,8752968574858835
E JEFFERSON ST,Municipality,1490972359931833
SLIGO CREEK PKWY,Government,7379643217890715
METROPOLITAN AVE,Maryland (State),736188288460693
HALPINE RD,County,2807188966138920
DAMASCUS RD,Maryland (State),6638522759714126
WEST OLD BALTIMORE RD,County,2884432905224156
FIRST ST,Maryland (State),6369310492997796
PINEY MEETINGHOUSE RD,County,4020861670019665
CRABBS BRANCH WAY,County,3200810099519261
LITTLE SENECA PKWY,County,6178273986049195
CRYSTAL LA,County,4299013044788248
FRANKLIN AVE,County,2767010398316790
BEALLSVILLE RD,Maryland (State),9218006405865336
SCHAEFFER RD,County,6811329806626216
DARNESTOWN RD,County,5048475127486250
WILSON LA,Maryland (State),6318016588858536
TEACHERS WAY,Municipality,255586963184265
NICOLSON LANE,UNKNOWN,251689737258670
JERUSALEM RD,County,1532632213732593
PARTNERSHIP RD,County,2571491105486215
FIRST AVE,County,2229212650405879
CEDAR LA,County,1313067862022561
STRATHMORE AVE,Maryland (State),59780298994526
SANDY SPRING RD,Maryland (State),5441018229599695
ASPEN HILL RD,County,8215917858679007
ROCKLEDGE DR,County,122845984924537
METRO ACCESS RD,Maryland (State),8253735503468840
EXETER RD,County,6816101933181022
HORIZON RUN RD,County,7961094484475993
GUNNERS BRANCH RD,County,6511241985834407
FALLS RD,County,3811374367089165
DUCHIN RD,County,281747179241406
KINGSWELL DR,County,8746908449280355
LINDBERGH DR,County,1922435453986698
FLOWER AVE,Maryland (State),7302518082091514
NICHOLSON LA,County,2213789648882633
MACARTHUR BLVD,County,7335944796020402
MONTGOMERY VILLAGE AVE,Maryland (State),6557309920293178
N HORNERS LA,County,2483063745978693
GRAND PRE RD,County,4155329697641362
LONDON LA,County,2838297165856042
BRIARCLIFF MANOR WAY,County,3839289269839353
GRAND PARK AVE,UNKNOWN,3893703438328121
WOOTTON PKWY,Municipality,9235634238484048
PALERMO DR,County,4361762620037537
SOUTHLAWN LA,County,1844669300243825
ORCHID DR,County,1151985615215882
STEDWICK RD,County,8065972452840857
CORDELL AVE,County,6309654557479928
GAINSBORO RD,Municipality,8016806755701797
KEMPTOWN RD,Maryland (State),2665035519134392
GIRARD ST,Municipality,3372370594401997
ELTON RD,County,3432570727499837
CHEVY CHASE LAKE DR,County,8195262077535301
AQUARIUS AVE,County,9034101247020396
SNOWDEN FARM PKWY (PROP),County,9510498811972778
RIDGEMONT AVE,Municipality,645984998507000
KEY WEST AVE,Maryland (State),2749584825656313
WESTLAKE TERR,County,8155612624230492
BALLINGER DR,County,1910850685131591
ST ELMO AVE,County,2100456515972825
DOVER RD,County,9751111746318725
NOYES DR,County,6769883436254129
CHRISTOPHER AVE,Municipality,5753701358579900
ADELPHI RD,County,4301490297701884
NORWOOD RD,Maryland (State),6679119335669357
ALLAN RD,County,2578068289644759
DECOVERLY DR,County,3871562951717258
WISTERIA DR,County,2307627192930883
MUNCASTER MILL RD,Maryland (State),6040835350107569
CLAY ST,County,3077947143579677
OMEGA DR,County,7323856660496368
TRAVILAH RD,County,9121758433655496
MOUNTAIN VIEW RD,County,7713316564289231
FERNWOOD RD,County,2538388433749261
CHAPMAN AVE,County,5451940471672927
FLOWER HILL WAY,County,5307290491731338
FOXHALL DR,County,5771717193381229
NORTH ST,Municipality,2066947974768835
PARKING LOT 18715 N FREDERICK AVE,UNKNOWN,236248084836451
DARLINGTON DR,County,5713045852860793
PLUM ORCHARD DR,County,3422502408033958
W GUDE DR,Municipality,7722394967240787
GERMANTOWN RD,County,4799136599996779
WASHINGTONIAN BLVD,County,8884045934519823
OBSERVATION DRIVE,UNKNOWN,8764194044076647
ROLLINS AVE,Municipality,4133175042162476
CHRISTOPHER AVE,County,9308231649449094
MAY ST,County,8659175557518131
EAST VILLAGE AVE,County,5773658314981328
AIRCRAFT DR,County,7513966215706423
CRYSTAL ROCK DR,County,4480272681028408
GRANITE ROCK RD,County,7915170391796212
RIPPLING BROOK DR,County,1796075670518351
CENTURY BLVD,County,6881145543978825
MANNAKEE ST,Municipality,6191493538455006
E RANDOLPH RD,Maryland (State),2165065936912104
HUNGERFORD DR,Maryland (State),1411296521991111
SOUTHLAWN LA,Municipality,1254437119074755
ANITA CT,Municipality,6207121707719449
OBSERVATION DR,County,5324785983432777
KNOWLES AVE,Maryland (State),3338453299406846
SHADOWRIDGE DR,County,3472566465207068
RAILROAD ST,County,62426864911154
LEAMAN FARM RD,County,6710306237007947
OLD BALTIMORE RD,County,498506480167855
E MIDDLE LA,Municipality,9417880145380702
HASTINGS DR,County,1105240519504272
DECATUR AVE,County,9519967127326135
PERRY PKWY,Municipality,2149983562537268
STEWART LA,County,9627405542711958
PARK AVE,Municipality,1528109652903733
KANSAS AVE,County,2108249977826710
DAWSON AVE,County,733333321440287
TWINBROOK PKWY,County,6984223247500269
16TH ST,Maryland (State),6142037097155399
CHERRY HILL RD,Maryland (State),8841492127445167
SENECA VIEW DR,County,8306716610068537
JEFFERSON PLAZA,Municipality,6132991191061049
ALLSPICE RD,Other Public Roadway,6972170061344526
STONEYBROOK DR,County,4302762396526388
WAYNE AVE,County,9633502691270455
WOODMONT AVE,County,9733403386382882
GARFIELD ST,County,8293542704133882
RAMP 8 FR RAMP 5 (FR IS495) TO MD 190 WB,Ramp,4156740355676526
BALTIMORE RD,Municipality,2547912610582476
TARA RD,County,2544811069977635
MAPLEWOOD AVE,County,6016500509188257
PRICHARD RD,County,6149304551979266
GALWAY DR,County,1270575724450370
GLENSIDE DR,Municipality,8512972012214020
ARORA HILLS DR,Other Public Roadway,5698030350025330
CLUB HOUSE RD,County,6845650528385479
AMHERST AVE,County,1141365501797803
HEATHFIELD RD,County,1089703071286863
MAPLE AVE,Municipality,4840542293804668
TRAVIS AVE,Municipality,7129378410681286
W WATKINS MILL RD,UNKNOWN,1990098659578417
ARLINGTON RD,County,6473233796771827
WORTHINGTON DR,County,9473308918959922
BALTIMORE ST,Municipality,5849364150666709
BOU AVE,County,959880016736679
COCKERILE AVE,UNKNOWN,1874180211737922
SELFRIDGE RD,County,4069948176307874
VEIRS MILL RD,County,833664226943530
GABEL ST,County,5092085510296721
THAYER AVE,County,121543023153860
ROCKLEDGE BLVD,Maryland (State),1607490566918771
FOREST GLEN RD,County,5624595723981400
ELM AVE,Municipality,8387582561199359
W DEER PARK RD,Municipality,3478334699665116
MAIN ST,Maryland (State),2652771834650993
KENDALL ST,County,6127942276129975
W JEFFERSON ST,Maryland (State),4819041666376301
BRADLEY LA,Maryland (State),6164609079380591
NEBEL ST,County,8187461114381454
LONGDRAFT RD,County,2412032363008194
PECAN DR,County,5336136917792388
LOST KNIFE RD,County,7449219594121100
ODENDHAL AVE,County,232325702818608
EDMONSTON DR,Municipality,2813409146555606
PARKLAND DR,County,7965968197712928
CALVERTON BLVD,County,3841368041702451
LEWIS DR,County,3234484127628175
NORTHWEST DR,County,1715210745968983
BLACKBURN LA,County,6937877806893680
KENT OAKS WAY,Municipality,889500973079688
WHITES FERRY RD,Maryland (State),3769871670299701
AMARANTH DR,County,9799974373311579
BAUER DR,County,4947414067794400
BLUESTAR AVE,UNKNOWN,5604540840313025
LONGMEAD CROSSING DR,County,3089444016293432
BALTIMORE RD,County,8618644215878262
GOODHILL RD,County,3044364231604127
BELLE CHASE DR,County,332386106526527
LAYTONSVILLE RD,Maryland (State),2297874655131833
LYTTONSVILLE RD,County,5848153528905580
BONIFANT RD,County,9187372233082836
MCKNEW RD,County,4393329885385292
PARKLAWN DR,County,8046950126139423
LOYOLA ST,County,4289312322630706
PHILADELPHIA AVE,County,3772762463625786
PARKER FARM WAY,Other Public Roadway,367672072837613
REDLAND RD,County,6721531370189965
KENTLANDS BLVD,Municipality,2358329246649839
EDWIN ST,County,4388651780886311
BUSHEY DR,County,5344260303304965
KIMBLEHUNT PL,County,8104643467215314
NORWOOD RD,County,5507166133618169
E DIAMOND AVE,Municipality,3950409285450586
WELLER RD,County,279276139621870
MARKET ST,Maryland (State),856700356672500
S WESTLAND DR,County,8769792900193536
HOUSTON ST,County,1905694946709508
WALDORF DR,County,9970782512545862
E GUDE DR,Municipality,8762851133639605
BORDLY DR,County,5479760847960035
FENTON ST,Municipality,2675263951810856
FIELDS RD,County,1304587817724232
BEAVERWOOD LA,County,4257531490431320
TEA ROSE DR,County,4512981813371402
N SUMMIT AVE,County,6347114274459854
CASTLE BLVD,County,2289608021049575
BANNOCKBURN DR,County,7099742634901762
BARNESVILLE RD,County,3831696903629872
GARDINER AVE,County,6661247758292889
PRINCE GEORGES AVE,UNKNOWN,2616225978784478
CRESTHAVEN DR,County,2408018576763008
CHESTNUT ST,Municipality,7613172087477710
GREENTREE RD,County,9676430938799736
E JEFFERSON ST,County,7394107169225515
CADDINGTON AVE,County,4533064203726216
CAVALIER DR,County,4047287783468600
FAIRLAND RD,County,6179592661490386
MIDCOUNTY HWY,County,4710282038419911
FATHER HURLEY BLVD,Other Public Roadway,7498874356669794
VENETIAN RD,County,830979488007425
MUSGROVE RD,County,5260573511050719
PRETTYMAN DR,Municipality,5362611342104273
MONTGOMERY AVE,Maryland (State),1646537034322302
11TH AVE,County,4461137102065213
RAMP 6 FR BRIGGS CHANEY RD TO US 29 SB,Ramp,5532974656706642
HATHAWAY DR,County,5531810062550284
BRIGHTON CT,Municipality,54040869034175
DALE DR,County,251717132303109
YEATMAN PKWY,County,3887356744772081
TUCKERMAN LA,County,6684917572508944
TALBOT AVE,County,1747001187048449
SCHUBERT DR,County,3866836173592879
WARING STATION RD,County,7724876848868485
SCHOOL DR,Municipality,5708533236851815
WESTLAKE DR,County,3606731334819033
LEWISDALE RD,County,5312275239450755
FOUNDERS MILL DR,County,2232864362382919
ANNAPOLIS ROCK RD,County,3246460614910715
EDGEMOOR LA,County,6985422229692488
HAMPDEN LA,County,3602440532564999
LELAND ST,County,390402712257774
SWAN STREAM DR,County,7834230231126244
BETHESDA AVE,County,6715566796241025
RAMP 5 FR IS 270 SB TO IS 370 EB,Ramp,9909496267819070
BUCKNELL DR,County,5027663878273923
UNIVERSITY BLVD E,UNKNOWN,6238718021796474
MONROE ST,Municipality,5430432820522698
SHERWOOD FOREST DR,County,5192709786951857
CENTERWAY RD,County,5130765032109159
STEWARTOWN RD,UNKNOWN,3653453115942883
FISHER AVE,Maryland (State),3843677710377708
FREDALE ST,County,761826789695461
MOORLAND LA,County,5682095185199952
SUNDALE DR,County,4379692651101489
VALLEYWOOD DR,County,742795290641487
STEEPLE RD,County,9136163060509207
INTERSTATE (IS) 270 SB RAMP EXIT 12,UNKNOWN,9193316399330
GRACEFIELD RD,Maryland (State),327434777300981
SUNFLOWER DR,County,5959225448131050
KENILWORTH AVE,County,7006451804375456
DUVALL LA,Municipality,8492793974005344
LA PLATA ST,County,3849179526097655
LINCOLN AVE,Municipality,7212136886288098
LLOYDMINSTER DR,County,9566592522364257
CHEYENNE RD,UNKNOWN,7519014136535658
ROSSMOOR BLVD,County,6809303023876967
PINE AVE,Municipality,4374444013958231
CONTOUR RD,County,5527745768443925
KIRKLYNN AVE,Municipality,3948881592674177
HARRISON ST,County,1989033221183902
8300 FLOWER AVE,UNKNOWN,161579548477751
PROFESSIONAL DR,Municipality,2275916216660064
MARYLAND AVE,County,8614052531193513
JOHNSON DR,County,5262135463946800
BRENISH DR,County,4684936504480434
MILSTEAD DR,County,3000577885520056
BERRYVILLE RD,County,6423652821781373
BROOKVILLE RD,County,4311025584034528
FALLING CREEK RD,County,5419753234532732
E MONTGOMERY AVE,Municipality,1604523766687347
CATTAIL RD,County,5299756303969641
W WATKINS MILL RD,Municipality,6906679658539685
RAMP 1 FR RP 4 EB TO DEMOCRACY BLVD,Ramp,5701557592322417
MONTROSE RD,Maryland (State),475192693242936
GLENVILLE RD,County,810251871883883
WINDHAM LA,County,5576963945606958
E FRANKLIN AVE,County,4348725474418217
ELKIN ST,County,2358401876277763
HARDY AVE,County,66740417210353
BROOM DR,County,6552204470151626
HERMITAGE AVE,County,5466579996863687
ELMER SCHOOL RD,County,5350104465364080
BUCKLODGE RD,Maryland (State),4675252595114225
ARCTIC AVE,County,6739335569276907
PEWTER LA,County,6633332708660263
METROPOLITAN GROVE RD,Municipality,932253776394992
DEXTER AVE,County,554212181047343
BRINK RD,County,1173397567872299
STILT ST,UNKNOWN,4815806982036948
KENSINGTON PKWY,Municipality,3077892122081974
VEIRS MILL SERV RD,County,5460768988020250
FLINT ROCK RD,County,8694249277291389
FAIRBANKS BLVD,Municipality,3878602549867698
ETHAN ALLEN AVE,Maryland (State),1410439552300155
CONGRESS DR,County,1820449359142983
CHARITY LA,County,7251973279451462
CRYSTAL ROCK DR,Other Public Roadway,1823353847192232
STRINGTOWN RD,County,3067367839968912
QUINCE ORCHARD RD,County,3067007716557107
EXECUTIVE BLVD,County,2972649153287807
LEWISBERRY DR,County,267200433955185
CECIL ST,County,4231146392891946
ALLEGHENY AVE,Municipality,3376740800329560
CONGRESSIONAL LA,Municipality,2287064083787097
BATTLERIDGE PL,County,5187799029250368
LOUIS AVE,County,2160619171895761
GOOD HOPE RD,County,3162794767690010
FAIRRIDGE DR,County,1196224066529450
LEE AVE,Municipality,7663026141430249
GRACEFIELD RD,County,6033898537841041
NORTHAMPTON DR,County,7018281379203679
RAMP 8 FR US 29 SB TO DUSTIN RD,Ramp,7250536780241967
GREENSPAN LA,County,5157336812172297
WATKINS MILL ROAD,UNKNOWN,8291275835965998
TIMBER CREEK LA,County,4198469928703219
HINES RD,County,2987108812391612
ROTHBURY DR,County,5980577906337178
EVANS DR,County,6093002458794802
DUSTIN RD,Maryland (State),4770171020075526
ROBEY RD,County,1287521464415970
KANSAS LA,Municipality,2303825602524741
SPRING AVE,Municipality,6205364533443930
RIVER RD,County,2669463355985893
SEMINARY PL,County,6101093494771637
JONES MILL RD,County,6894531872841954
IVY GLEN RD,County,3359574301903249
EDSON LA,County,7728347112127141
JOHNSON AVE,County,3428208195103108
ROCKVILLE PIKE,UNKNOWN,3469327312075743
HILLANDALE RD,County,6813883436703181
NOTLEY RD,County,2413914817501920
BEACON RD,County,8216443740861405
CENTRAL AVE,County,4911193590004370
S SUMMIT AVE,Municipality,6828124539824681
MIDCOUNTY HWY,Maryland (State),1442576234598343
SECOND AVE,County,4027230734138971
CLARKSBURG RD,County,9476370380090645
CEDAR TREE DR,Other Public Roadway,2442122892557052
HEARTFIELDS DR,County,7805535367480730
DAYTON ST,County,4008264498302931
RAMP 2 FR MD 927 WB TO IS 270 NB,Ramp,8420541940930509
OLD COLUMBIA PIKE,Maryland (State),9823283838522115
ARLISS ST,County,6233123626997090
SUNDOWN RD,County,9256672888305189
ORCHARD RIDGE DR,Municipality,6605310184265241
EVERETT ST,Municipality,2808058761523159
RAMP 2 FR MD 118 WB TO IS 270 NB,Ramp,5114590571026499
S STONESTREET AVE,Municipality,5445547413890606
DENFELD AVE,County,7967309021061895
N HORNERS LA,Municipality,6053840126371327
MONTROSE RD,Other Public Roadway,8581440537214328
LYTLE ST,County,2366328007661796
CEDAR AVE,Municipality,1148029911038474
MEADOW LA,Municipality,3010289932433383
MT PISGAH RD,County,3440634803847588
TOWNE ROAD,UNKNOWN,2825682537424324
SAUL RD,County,8617968359438076
MONTERREY DR,County,616784079976292
SWEETSPIRE WAY,UNKNOWN,8949202267387057
LEXINGTON DR,County,8288715678001191
GAITHER RD,Municipality,3105513444065913
RIO BLVD,Municipality,9038064705072949
SPARTAN RD,County,3643845508224892
LAUDERDALE DR,County,9623485752734080
PEBBLEWOOD PL,County,1280396924150998
BRANDERMILL DR,County,7332183419818419
PORTERFIELD WAY,County,3521627849863104
RIFFLE FORD RD,County,5328360237488026
RALSTON RD,County,8253494637529470
WEXHALL DR,County,3513365454271728
SKYLARK RD,County,5023681635711726
CLOVERLEAF CENTER DR,County,897882424539381
CINNAMON DR,County,4970369900866842
ELMCROFT BLVD,Other Public Roadway,7476328798919933
BROOKE RD,County,3137798010468467
FALLSGROVE BLVD,Municipality,535979164128800
WARFIELD RD,County,9542602063434211
ROEDER RD,County,4420067575584544
ARROWHEAD RD,Other Public Roadway,7692940583103732
DELLCASTLE RD,County,560927988427018
BLAIR MILL RD,County,6274252643408535
CRABB AVE,Municipality,8762384249180391
LANIER DR,County,5389327744464320
ENTRANCE TO WHEATON PLAZA,UNKNOWN,6821933669719628
FIRST ST,UNKNOWN,9890129244107692
BUDD RD,County,4041402708749068
STARDRIFT DR,County,4124198641763464
WILLARD AVE,County,1962760054702794
KINGWOOD DR,Municipality,5884932585666713
FALLS ROAD,UNKNOWN,8371761308539287
INDEPENDENCE ST,County,3053152208490514
UNIVERSITY BLVD E SERV RD,County,6534103799737128
LORRAINE DR,Municipality,5523784970462241
WATERS RD,County,8437187482927069
FALLS BRIDGE LA,County,1961320197390097
DOUGLAS AVE,Municipality,2825577358121918
SEVEN LOCKS RD,UNKNOWN,3055443433876634
CARROLL AVE,County,942245720105722
SENECA RD,Maryland (State),746407640387904
MONTROSE PKWY,Maryland (State),6621409683122999
BLACKPOOL RD,County,7351904192401718
SCENERY DR,County,2558170740589462
VALLEY BROOK DR,County,2293679703603009
DUFIEF MILL RD,County,3722575018294494
QUEBEC ST,County,3134634734220233
PARKER AVE,County,5234652478302250
SEVEN LOCKS RD,Municipality,5383022840453280
LOWER COUNTRY DR,Municipality,6948201019133986
KIMES ST,County,8054125216219085
KAYSON ST,County,2970114115681369
COLONY RD,County,779101821876459
SANGAMORE RD,County,5985997649559012
RICHTER FARM RD,County,7092526504476138
RAMP 3 FR MD 200 EB TO MD 650 NB,Ramp,7422112433534511
BROADVIEW RD,County,2364807889599602
AVERY RD,County,9642224662587860
SHOWBARN CIR,County,9822968467257291
W WILLARD RD,County,604870275476111
MONTICELLO AVE,County,3832390935110441
TISDALE TERR,County,8253758894550230
SILVER SPRING AVE,County,8376284932856683
WATERS LANDING DR,County,587774941451336
ELLINGTON BLVD,UNKNOWN,5988151141208261
MARYLAND AVE,Municipality,3226673585769851
FOREST BROOK RD,County,8352538355989503
BRADSHAW DR,County,2536529039698655
WHITES FERRY RD,County,4011047311976145
GLEN RD,County,2109900676376297
INDIANOLA DR,County,4765302392156172
BROOKS AVE,Municipality,9081031207839133
MILLER FALL RD,County,6386906310055757
OAKVIEW DR,County,8450962886119919
CLARENDON RD,County,2250203197349667
OAKVALE ST,County,3876995639597449
GLENALLAN AVE,County,2992529100522837
PARKRIDGE DR,County,3560923103013956
RAMP 9 FR IS 370 EB TO SHADY GROVE RD,Ramp,5477958073662410
STRINGTOWN RD,Other Public Roadway,1801058313463136
ASTON MANOR DR,County,6864104673413747
HOPKINS RD,County,4862606390508847
BEALL AVE #2,Municipality,6469935045073450
KERSEY LA,Municipality,4141855759554179
ASHTON GREEN DRIVE,UNKNOWN,6233440879912641
FEDERAL ST,County,9404564410041679
QUEENAIR DR,County,433628133175143
ZETTS AVE,County,9547240558495055
ATHERTON DR,County,2978807432738516
ARCOLA AVENUE,UNKNOWN,5186031764518281
CHEVY CHASE ST,Municipality,3910736770068013
NEWPORT MILL RD,County,8472847133496288
BROGDEN RD,County,4721363050483070
TURKEY FOOT RD,County,7085342766529779
PLYERS MILL RD,Maryland (State),7708327338392326
KINGS CROSSING BLVD,County,5830338947083213
STRAWBERRY KNOLL RD,County,1983713883891926
ODENDHAL AVE,Municipality,3687445675577850
RESEARCH BLVD,Municipality,157592319777192
MERRIMAC DR,County,7075951276388313
LANDON LA,County,1996152436997100
CANNES LANE,UNKNOWN,45693942070127
MONTGOMERY LA,County,9878370451078963
LONGWOOD DR,Municipality,5073119354674288
CABIN JOHN PKWY,Interstate (State),3213878518823841
TANLEY RD,County,503892320087002
RAMP 1 FR RAMP 4 (US29)TO CHERRY HILL RD,Ramp,2372371360338777
TUPELO DR,County,4174245106136744
SNOWDEN FARM PKWY,County,4757209298434202
COMMERCE LA,County,6905857740704483
DENNIS AVE,County,3311863522683530
MURDOCK RD,County,4024289455818900
JERUSALEM RD,UNKNOWN,1839758288996051
COLSTON DR,County,7869219995262619
PROSPERITY DR,County,1880752692657228
RAMP 3 FR IS 495 EB TO MD 97 NB,Ramp,3798526142065139
JACKSON AVE,Municipality,546877962507900
NEW HAMPSHIRE AVE SERV RD,Municipality,6862270469109474
REDLAND BLVD,Municipality,993197269129949
CAPELLA LA,County,2357211885661664
NORTH FREDERICK ROAD,UNKNOWN,8219929591852725
KINGSVIEW VILLAGE AVE,County,7923195134201630
SOUTHWOOD AVE,County,8310227491243885
ASHLEY DR,County,4018258031252483
FOUNDERS WAY,County,4249235140206790
MD355,UNKNOWN,5409435250696967
SPENCER RD,County,9215544043092961
