RoadName,RouteType,RoadKey
N CAMPUS DR,Service Road,1067321181405621
GRACEFIELD RD,County,8149618571271010
SYCAMORE AVE,Municipality,6043712922073817
LEXINGTON DR,County,5247674275999428
ZEBRAWOOD CT,UNKNOWN,4867353162259774
SOUTHWOOD DR,UNKNOWN,8102196540894620
SUNNYSIDE CT,Municipality,5956048249507943
W WATKINS MILL RD,Municipality,7473007514763116
PINEY MEETINGHOUSE RD,County,5386409165832801
WALKERS CHOICE RD,County,8834166205232187
MARYLAND AVE,County,2772662958313268
ENT. TO WASHINGTONIAN CENTER,UNKNOWN,7806103034742759
SCENERY DR,County,7597896655482071
WILLIAMSBURG DR,County,4875285530804434
WOODSIDE PKWY,County,101735708559903
MONTROSE RD (BACK),Other Public Roadway,241386732769452
ENT TO FEDERAL PLAZA S.C.,UNKNOWN,7263055234630352
MAPLE AVE,Municipality,5812528152928271
POOKS HILL RD,County,8957556589418796
DENLEY RD,County,6810999407365995
CHEVY CHASE LAKE DR,County,2662081756549658
DICKERSON CHURCH RD,County,5337684881887662
EXIT #10,UNKNOWN,2143914507962764
HARMONY HALL RD,County,6149184508965314
RAMP 8 FR US 29 SB TO IS 495 WB,Ramp,1725596735337104
DODGE ST,Maryland (State),8586761638589928
KING FARM BLVD,Municipality,833710095465812
HERITAGE HILLS DR,County,6068565685548228
BELL VERNON PL,Other Public Roadway,542590094380328
MELVERN DR,County,823783793085953
FLOWER HILL TERR,County,4987842412812532
LEAMAN FARM RD,County,3410425209489937
HOWARD AVE,Municipality,2898034228332955
CRESTMOOR DR,County,9997955494747974
WHITETHORN CT,County,6425522311327465
HEATHER HOLLOW CIR,UNKNOWN,2400182794897545
EPSILON DR,County,5971834702093358
CLIFTONDALE DR,UNKNOWN,5833342648835829
W EDMONSTON DR,Municipality,2900718154001121
GARFIELD DR,County,7006638428436256
LITTLE FALLS PKWY,Government,9807198006945019
OVERLOOK DR,County,6386169147853509
SUNDOWN RD,County,7574922883164870
VENICE DR,County,6207239878217606
BUCKINGHAM DR,County,5762962461647953
SAINT ALBERT DR,County,7855335339155970
ENT TO BURTONSVILLE SHOPPING CENTER,UNKNOWN,7163542694142221
RAMP 5 FR IS 270 SB TO SHADY GROVE RD,Ramp,3234441642202422
CARLYNN DR,County,6366407766722767
ENT TO SHOPPING CENTER,UNKNOWN,8167578228000493
RIO BLVD,Municipality,4729781649448766
RIDGEFIELD RD,County,2022575274806909
CENTURY BLVD,County,5604345136865326
SPUR TO BELLS MILL RD,UNKNOWN,327141672848974
CADDINGTON AVE,County,722846132958039
SWEETWOOD AVE,County,1056551614787101
MONTGOMERY AVE,Municipality,3487720757048155
IVYMOUNT TERR,County,5517069354298082
GAIL ST,County,6315873817494128
ALLNUTT LA,County,8129523359699371
E WAYNE AVE,County,6493547405521258
RAMP 8 FR IS 270 SB TO MD 121 WB,Ramp,3735796951444641
CLARIDGE RD,County,1183766087308093
WALKER AVE,Municipality,2481678434171286
CLUB HOUSE RD,County,9236114947164831
MONITOR DR,County,7000809242121138
CALVERTON BLVD,Other Public Roadway,1675250990512816
ENT SHADY GROVE METRO STATION,UNKNOWN,8898024693401937
ROLLING FORK DR,County,2785259940606620
GREENWAY DR (BACK),County,7884694685018695
LEE ST,Municipality,7687328642365281
KIMBLEHUNT DR,County,1099917891615029
WILSON LA,Maryland (State),2258501311527651
CHESHIRE DR,County,755816997488189
HORN POINT DR,County,5405566800651122
FOREST GLEN RD,Maryland (State),5564981422910326
GREAT SENECA HWY,County,2029323678496395
LAKELANDS DR,Municipality,5651121530012879
CHASE CROSSING CIR,UNKNOWN,846090214437687
ENT TO WHEATON PLAZA,UNKNOWN,5577717976499668
WAVERLY ST,County,731222477856631
BOUIC AVE,Municipality,2144435806545376
BRADDOCK RD,County,3322405298037516
SANDY SPRING VFD,UNKNOWN,6645293223114629
ENGLISH WAY,County,391413693497033
BALTIMORE RD,Municipality,77986396610937
BEGIN BRIDGE,UNKNOWN,6995932442052456
PINEWOOD RD,Municipality,7278021931858481
ROCKING HORSE RD,County,8923897281565627
HARRINGTON DR,County,5478073601071092
STRAWBERRY KNOLL RD,County,797526553124914
HICKERSON DR,County,1713981377495142
OLD HUNDRED RD (BACK),Maryland (State),1763350533964117
SUMMER SWEET TERR,County,398403666182269
LIVINGSTON ST,County,8681150887607954
STAFFORDSHIRE DR,UNKNOWN,1940192906336000
ALLSPICE RD,Other Public Roadway,8612685584290161
DEVILWOOD DR,County,7492989540791933
HILLCROFT DR,County,7048286087300263
WHITTIER BLVD,County,3134929711281422
BLUEBIRD TERR,County,2147977805273738
LOCBURY DR,County,9479366963455254
ROCKVILLE VOL FIRE COMPANY NO. 33,UNKNOWN,6810967539618732
WINDHAM LA,County,2856714500567665
BUDD RD,County,823147022299985
HAMPDEN LA,County,8058775334950
GALT AVE,County,9361066122733558
BLACKWELL RD,Municipality,3874191306195319
SPUR TO MD 410,UNKNOWN,6077969080120043
BEECH TREE RD,County,8431981656414478
SUMMERWOOD DR,County,1838520997542690
RAMP 6 FR MD 28 EB TO IS 270 SB,Ramp,8706676661821241
N WESTLAND DR,County,5071688156813289
SPUR TO MD 355,UNKNOWN,3196247930439129
LANARK WAY,County,404303769527782
GREGERSCROFT RD,County,5491580252848617
